variable_name,Description,Blasting,Excavation/Loading
step_id,Step ID (unique),blasting,excav_load
step_name,Human-readable process step,Blasting with drilling and explosives,Loading with excavator
key_equation,"Key equation, chemical or physical, evaluated in this step.",N/A,Initial conversion factor is simply density conversion to loose rock; conversion from loose rock being moved/hauled to target ore is based on ore:strip ratio (1/(1+strip)) accounting for loss (i.e. yield); the rest is assumed to go to waste [(strip+loss)/(1+strip)]
notes,"Key information, notes",,Discrete numbers of excavators moving material to hauling trucks; EX374 used as baseline.
machine_options,,blasting_generic.conservative; blasting_generic.midpoint; blasting_generic.optimistic,excavation_loading_generic.conservative; excavation_loading_generic.midpoint; excavation_loading_generic.optimistic
machine_default,,blasting_generic.midpoint,excavation_loading_generic.midpoint
step_basis,Name of the intermediate volume inputs are aggregated into and outputs produced from,rock_blast_throughput,loose_rock_throughput
step_basis_unit,,metric tonnes,"tonnes loose rock (90% fill factor), including waste"
step_ccf,Constituent conversion factor from constituent units to step_basis units,0.001,0.001
step_ccf_units,Units to convert constituents into step_basis units,kg ore / tonne ore • 1/PPM ,kg ore / m^3 ore • 1/PPM 
volume_defining_basis,"Are we converting from the step basis, or a constituent (extent) of the process basis?",rock_blast_throughput,loose_rock_throughput
volume_defining_basis_unit,What unit is the process volume or constituent in?,metric tonnes blasted rock,tonnes
volume_defining_output,What is the output or output constituent that needs to be converted to,blasted_rock,rom_ore_feed
volume_defining_output_unit,What unit is that output in?,metric tonnes blasted rock,tonnes
primary_input_1_name,,raw_material,blasted_rock
primary_input_1_units,Primary input units,metric tonnes rock in ground,metric tonnes blasted rock
primary_input_1_conversion_factor,Conversion factor of input into step basis. (Input * CF = Basis) ,1,1
primary_input_1_constituents,Names of input constituents,Li,Li
primary_input_1_constituent_fractions,Values of input constituents,,
primary_input_1_constituent_units,Units for each input constituent,ppm (mg/kg ore),ppm (mg/kg ore)
primary_input_1_ccf,Constituent conversion factor of constituent units to step basis. (Constituent * CCF = Basis Units) ,0.001,0.001
primary_input_1_ccf_units,Units for constituent conversion factor,kg ore / tonne ore • 1/PPM ,kg ore / tonne ore • 1/PPM 
primary_input_1_chemistry_dependence,Does the chemistry for this primary input depend on an output of the previous step? ,FALSE,TRUE
reagent_1_name,Reagent name,explosives,
reagent_1_name_long,Long/descriptive reagent name,Explosive material,
reagent_1_target_constituents,,rock_blast_throughput,
reagent_1_constituent_ratio,Reagent per target (e.g. kg/kg),,
reagent_1_target_constituents_eliminated,Fraction of constituent eliminated by target,0,
reagent_1_units,,kg explosives/tonne raw material,
reagent_2_name,Reagent name,,
reagent_2_name_long,Long/descriptive reagent name,,
reagent_2_target_constituents,,,
reagent_2_constituent_ratio,Reagent per target (e.g. kg/kg),,
reagent_2_target_constituents_eliminated,Fraction of constituent eliminated by target,,
reagent_2_units,,,
reagent_3_name,Reagent name,,
reagent_3_name_long,Long/descriptive reagent name,,
reagent_3_target_constituents,,,
reagent_3_constituent_ratio,Reagent per target (e.g. kg/kg),,
reagent_3_target_constituents_eliminated,Fraction of constituent eliminated by target,,
reagent_3_units,,,
primary_output_1_name,Output stream/material,blasted_rock,rom_ore_feed
primary_output_1_step,The step or waste material tracker that this output goes to,excav_load,Final
primary_output_1_yield_rate,Yield Rate,1,1
primary_output_1_conversion_factor,Convert from step basis units to output units (step basis * CF = output),1,
primary_output_1_units,Units after conversion is applied,metric tonnes blasted rock,tonnes
primary_output_1_constituents,,Li; K; Mg; Ca; Na; B; SO4,Li; K; Mg; Ca; Na; SO4
primary_output_1_constituent_fractions,,,
primary_output_1_constituent_units,,ppm (mg/kg ore),ppm (mg/m3 ore)
primary_output_1_ccf,Constituent conversion factor of constituent units to step basis. (Constituent * CCF = Basis Units) ,0.001,0.001
primary_output_1_ccf_units,Units for constituent conversion factor,kg ore / tonne ore • 1/PPM ,kg ore / tonne ore • 1/PPM 
primary_output_1_chemistry_dependence,Does the chemistry for this primary output depend on the chemistry of any of the primary inputs?,TRUE,FALSE
coproduct_1_name,,,waste
coproduct_1_sink,,,waste_pile
coproduct_1_conversion_factor,,,0
coproduct_1_units,,,
coproduct_1_constituents,,,
coproduct_1_constituent_fractions,,,
coproduct_2_name,,,
coproduct_2_sink,,,
coproduct_2_conversion_factor,,,
coproduct_2_units,,,
coproduct_2_constituents,,,
coproduct_2_constituent_fractions,,,
coproduct_3_name,,,
coproduct_3_sink,,,
coproduct_3_conversion_factor,,,
coproduct_3_units,,,
coproduct_3_constituents,,,
coproduct_3_constituent_fractions,,,
